001, Bulbasaur, Seed, grass, poison, 0.7, 6.9, 45, 64, medium slow, 45, 49, 49, 65, 45, {16}, {Ivysaur}
002, Ivysaur, Seed, grass, poison, 1.0, 13.0, 45, 141, medium slow, 60, 62, 63, 80, 60, {32}, {Venusaur}
003, Venusaur, Seed, grass, poison, 2.0, 100.0, 45, 208, medium slow, 80, 82, 83, 100, 80, {}, {}
004, Charmander, Lizard, fire, null, 0.6, 8.5, 45, 65, medium slow, 39, 52, 43, 50, 65, {16}, {Charmeleon}
005, Charmeleon, Flame, fire, null, 1.1, 19.0, 45, 142, medium slow, 58, 64, 58, 65, 80, {36}, {Charizard}
006, Charizard, Flame, fire, flying, 1.7, 90.5, 45, 209, medium slow, 78, 84, 78, 85, 100, {}, {}
007, Squirtle, Tiny Turtle, water, null, 0.5, 9.0, 45, 66, medium slow, 44, 48, 65, 50, 43, {16}, {Wartortle}
008, Wartortle, Turtle, water, null, 1.0, 22.5, 45, 143, medium slow, 59, 63, 80, 65, 58, {36}, {Blastoise}
009, Blastoise, Shellfish, water, null, 1.6, 85.5, 45, 210, medium slow, 79, 83, 100, 85, 78, {}, {}
010, Caterpie, Worm, bug, null, 0.3, 2.9, 255, 53, medium fast, 45, 30, 35, 20, 45, {7}, {Metapod}
011, Metapod, Cocoon, bug, null, 0.7, 9.9, 120, 72, medium fast, 50, 20, 55, 25, 30, {10}, {Butterfree}
012, Butterfree, Butterfly, bug, flying, 1.1, 32.0, 45, 160, medium fast, 60, 45, 50, 80, 70, {}, {}
013, Weedle, Hairy Bug, bug, poison, 0.3, 3.2, 255, 52, medium fast, 40, 35, 30, 20, 50, {7}, {Kakuna}
014, Kakuna, Cocoon, bug, poison, 0.6, 10.0, 120, 71, medium fast, 45, 25, 50, 25, 35, {10}, {Beedrill}
015, Beedrill, Poison Bee, bug, poison, 1.0, 29.5, 45, 159, medium fast, 65, 80, 40, 45, 75, {}, {}
